uf,ano,cultura,target,target_label,modelo,status,valor_real,valor_predito
MT,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,239366.0,3238595.6158892782
MT,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,17973.0,2910881.5809242427
MT,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,7429526.0,3467137.490015153
MT,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,11981285.0,4035654.5809242437
PA,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,17476.0,411028.1584582677
PA,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,254370.0,83314.12349323242
PA,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,485255.0,639570.0325841417
PA,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1007539.0,1208087.123493233
PB,2023,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,109237.0,149953.61902229756
PB,2023,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,15016.0,0.0
PB,2023,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,101039.0,378495.4931481715
PB,2023,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,947012.5840572631
