"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Maranhão";"3176531";"1540586";"535853";"1322363";"2673211";"1780279";"646209";"1571418";"3011709";"1529579";"783491";"1640183";"2948317";"1325328";"1321683";"1581687";"2665104";"1619342";"1520047";"1875792";"3124141";"1481907";"1397831";"2099507";"2520500";"1073966";"682791";"1242772";"2482939";"856770";"1631080";"2331688";"2427100";"677099";"1318782";"2751206";"2907191";"464148";"1803512";"2850084";"2838087";"434344";"2177432";"3056550";"2732064";"440241";"2267556";"3240985";"2827703";"422068";"2278917";"3537377";"2741432";"398360";"2487084";"3821792";"2705753";"377827";"2384065";"4073259"
"Piauí";"779084";"565659";"342483";"868493";"981605";"511424";"677623";"1144033";"807877";"319629";"769387";"1242574";"756191";"156256";"485043";"920950";"903943";"174931";"1036825";"1488646";"861393";"265687";"1101439";"1772722";"726743";"202238";"600690";"644263";"829102";"262648";"1439469";"2020195";"839534";"331546";"1518094";"2469650";"992980";"365109";"1835613";"2325951";"1002464";"444433";"2199753";"2447620";"1110157";"405718";"2145035";"2713998";"1063691";"442256";"2591483";"3077485";"1183019";"489577";"2752791";"3389142";"1191702";"460157";"1667634";"3811694"
"Ceará";"2306004";"620964";"174955";"3417";"2209852";"836606";"915286";"-";"1996789";"468724";"122501";"3854";"1674705";"300348";"112741";"-";"1176523";"478453";"347828";"-";"906912";"358857";"130887";"-";"715932";"387831";"114675";"-";"689418";"476237";"373425";"-";"512620";"622236";"470149";"190";"579180";"642188";"423601";"-";"588109";"641142";"633317";"1350";"574953";"560249";"414411";"4528";"522601";"759971";"538505";"7740";"556369";"727878";"359978";"19113";"556146";"817857";"398661";"11822"
"Rio Grande do Norte";"3962017";"341552";"8119";"-";"3581848";"305168";"47926";"-";"4267958";"235855";"2489";"-";"3806558";"80685";"11924";"-";"3899348";"160286";"13167";"-";"3724046";"146091";"4222";"-";"3615991";"96544";"2943";"-";"3723101";"140228";"4071";"-";"3855065";"232569";"23934";"-";"3849118";"219150";"30687";"-";"3913165";"211288";"31252";"-";"4058263";"230030";"13345";"-";"3342940";"220083";"28509";"-";"3827272";"297506";"25880";"-";"3858316";"276245";"22696";"240"
"Paraíba";"5646151";"228126";"11507";"-";"6417385";"220874";"62426";"-";"5865365";"157876";"6548";"-";"6094359";"135052";"27452";"-";"6761570";"135114";"28249";"420";"6801981";"131073";"10934";"-";"6908885";"146889";"12613";"-";"5369180";"146168";"26242";"-";"5447699";"139069";"54748";"-";"5430290";"143990";"39414";"-";"5673632";"141910";"77585";"-";"5630113";"131811";"48172";"-";"5762668";"139239";"69495";"56";"7066802";"144559";"41946";"-";"7181745";"164972";"47842";"-"
"Pernambuco";"19704071";"743328";"69715";"-";"19332281";"520330";"124028";"-";"14242228";"341901";"22054";"-";"14834139";"292766";"23922";"-";"15417362";"302361";"53074";"-";"15965218";"388343";"26493";"-";"13738711";"140536";"13364";"-";"12352698";"204498";"45598";"-";"13083448";"372360";"51040";"-";"12618828";"400096";"30489";"-";"14826596";"434860";"92638";"-";"15602250";"421311";"66281";"600";"17380159";"358441";"68046";"-";"16089574";"526805";"54720";"400";"16102174";"649589";"115522";"-"
"Alagoas";"24352340";"318231";"23480";"-";"29257108";"295096";"33393";"-";"27674454";"314615";"1650";"-";"28170950";"224794";"8749";"-";"26884220";"250256";"11301";"-";"20714441";"293129";"15800";"550";"18701217";"292874";"13057";"1043";"17498101";"386572";"33507";"1240";"16738990";"378203";"25421";"2475";"18702251";"384152";"54122";"10363";"15293563";"481553";"61097";"4640";"17419082";"508171";"82272";"9391";"17050772";"569894";"48055";"11242";"18982924";"518234";"71427";"18289";"18707595";"519429";"60451";"17656"
"Sergipe";"2994819";"485360";"750718";"-";"3336034";"483990";"480476";"-";"3260251";"450486";"290575";"-";"3087048";"433723";"700902";"-";"3037432";"415910";"762472";"-";"3220415";"380182";"495729";"-";"2393110";"295515";"140962";"-";"2205631";"248798";"843762";"-";"2120194";"153334";"106814";"-";"1869853";"147465";"687221";"-";"2057934";"136438";"904506";"-";"2050654";"135067";"741765";"-";"2183372";"156980";"793896";"-";"2476045";"166103";"874463";"-";"2753407";"169142";"913909";"-"
"Bahia";"5868709";"3211278";"2223302";"3112929";"6992412";"2966230";"2051623";"3512568";"6894350";"2200806";"1882938";"3212789";"6753539";"1854260";"2109906";"2765533";"6705267";"2131473";"2920991";"3206364";"6227728";"2098575";"2681529";"4513633";"6413820";"1956103";"1580460";"3257119";"4765663";"717254";"1915453";"5143899";"4859080";"610635";"2264648";"6310780";"5009768";"648444";"1886858";"5329694";"5460092";"709131";"2646751";"6078010";"5482476";"766772";"2450153";"6839555";"5208139";"815449";"2739012";"6958197";"5651267";"808028";"3097053";"7776560";"5574992";"806471";"2631104";"7668295"
"Minas Gerais";"60603247";"794792";"6089941";"2902464";"67732138";"816320";"6536187";"2940857";"70521498";"823983";"7625142";"3073499";"71619149";"815043";"7447665";"3375690";"71086808";"851539";"6966931";"3345549";"69017764";"851546";"6839297";"3524055";"69934887";"844308";"5843579";"4747494";"69721579";"497888";"6752413";"5318554";"70808004";"492035";"6634939";"5438116";"72967219";"525053";"7468417";"5189781";"78383655";"518141";"7689309";"6218740";"69915645";"547267";"6788836";"6984227";"73312381";"563263";"7847614";"7639648";"82544375";"572565";"8296982";"8459161";"83764720";"561735";"6599875";"7740542"
"Espírito Santo";"5314685";"240355";"65537";"-";"4682285";"188102";"81924";"-";"4650742";"206929";"77233";"-";"3968839";"157753";"62831";"-";"4075723";"163099";"58221";"-";"3320809";"140952";"30147";"-";"2706102";"122390";"37897";"-";"2504378";"120345";"37209";"-";"2754118";"115924";"42027";"-";"2559423";"118470";"37533";"-";"2578915";"127529";"38883";"-";"2924219";"126760";"41670";"-";"3108481";"125385";"52537";"200";"3094072";"130750";"67475";"3780";"3346324";"127806";"58800";"1509"
"Rio de Janeiro";"6394477";"206605";"17678";"-";"5137700";"229216";"18278";"-";"5692869";"324449";"15009";"-";"4955701";"195343";"13321";"-";"4783066";"193409";"11062";"-";"3919509";"154045";"6234";"-";"2514376";"156531";"7563";"-";"2352977";"142292";"8243";"-";"2191722";"134523";"7094";"-";"2457158";"216496";"7967";"-";"2557786";"220141";"7866";"-";"2556322";"158860";"8557";"324";"2708935";"174875";"10775";"953";"2382962";"163139";"10458";"2577";"2493706";"153699";"6305";"2289"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"426572099";"1169080";"4026500";"1412934";"427364854";"1321297";"3362555";"1271437";"408001978";"1354849";"4478520";"1566956";"434079735";"1323090";"4408375";"1844951";"401332100";"1316946";"3983895";"1709229";"423419511";"1171901";"4688951";"2406262";"442282329";"1158884";"4592671";"2792796";"450424570";"1068859";"5178871";"3291823";"430533785";"1178322";"4488539";"3410297";"425617093";"1358067";"4800956";"3455497";"431525560";"1501957";"4503594";"3887567";"405000643";"1456284";"3709901";"4184832";"420724619";"1428113";"4785141";"4478064";"439098082";"1658942";"4846521";"4962226";"418569112";"1666659";"3657604";"3626440"
"Paraná";"48361207";"4012948";"13567096";"14091829";"44907862";"4179699";"12472720";"15457911";"47940989";"3869080";"16555330";"10937896";"48449908";"3759705";"17342302";"15937620";"47947529";"3958798";"15823241";"14913173";"47368045";"4312946";"15777409";"17229378";"47492657";"3888111";"13929989";"17122294";"40755157";"3295673";"17542688";"19181853";"40168956";"3469812";"12760610";"19035720";"41642402";"3270654";"16519549";"16348364";"40294131";"3474980";"15809775";"20875792";"37522243";"3421367";"10528860";"19205802";"34454276";"2906538";"15604352";"13454457";"38586024";"3479343";"17884646";"21553541";"34505828";"3693862";"15514499";"18689393"
"Santa Catarina";"422014";"540626";"3653803";"1378532";"532656";"506280";"3651825";"1490551";"499049";"529648";"2870450";"1079690";"498535";"551349";"3326366";"1586351";"563600";"443462";"3149729";"1668235";"384625";"423706";"3076480";"2000323";"373845";"385875";"2530363";"2139611";"369083";"410120";"3009582";"2447350";"181339";"354689";"2574200";"2338046";"185602";"348412";"2767069";"2270512";"191018";"336523";"2701935";"2243989";"196145";"341727";"2006694";"2323735";"187593";"308649";"2138770";"2159405";"203695";"301905";"2586339";"2951678";"193818";"283088";"1824156";"2733806"
"Rio Grande do Sul";"1504692";"1275655";"5633912";"10480026";"1384967";"1302929";"5772422";"11717548";"981594";"1191202";"3155061";"5945243";"1126122";"1166363";"5419780";"12756577";"1043336";"1181422";"5389520";"13041720";"834500";"1155247";"5563555";"15700264";"761076";"1093135";"4729948";"16209892";"730267";"1066790";"6058900";"18744186";"680979";"959212";"4557251";"17538725";"628379";"886955";"5735186";"18498119";"538129";"788415";"4210008";"11283360";"590062";"842953";"4389617";"20420501";"412963";"661054";"3001701";"9370339";"426956";"706331";"3960494";"12693487";"472299";"647393";"4505668";"18247609"
"Mato Grosso do Sul";"34795664";"543303";"3782946";"5340462";"34876698";"630286";"3628492";"5079581";"37761461";"634529";"6477070";"4594359";"42399659";"721870";"7573324";"5780519";"44039431";"873059";"8251121";"6339386";"43924003";"1004216";"9727809";"7305608";"51927246";"739241";"6029756";"7389990";"46930191";"690752";"9821727";"9101890";"49794753";"721910";"7430987";"9869382";"52245291";"807343";"9963206";"8698011";"47896832";"906533";"10696608";"10939032";"47287616";"997672";"5418082";"12226648";"40758940";"958310";"12870873";"8538611";"51789876";"1156934";"13443031";"14193250";"52499052";"1267782";"7881086";"11303640"
"Mato Grosso";"14564724";"496621";"8164273";"18787783";"14050998";"355896";"7763942";"20800544";"17108709";"349917";"15646716";"21841292";"19681574";"335736";"20186020";"23416774";"19032094";"337456";"18071316";"26495884";"20077293";"292059";"21353295";"27850954";"19209764";"285619";"15339785";"26277303";"19230604";"277007";"29942322";"30479870";"20433828";"287753";"26172540";"31608562";"23319052";"287237";"31504274";"32242463";"20806469";"270376";"33650671";"35070044";"19348547";"258812";"32051305";"35336979";"17345179";"270347";"38331222";"38025387";"19060217";"265836";"50241972";"44425783";"19713635";"212355";"47414131";"38396410"
"Goiás";"48000163";"339046";"4676483";"7252926";"54903085";"292579";"5743622";"7703982";"58348797";"303965";"8230069";"8398891";"69376714";"166622";"7686971";"8913069";"70152466";"206311";"9088029";"8938560";"72066835";"207751";"9512503";"8606210";"71054922";"212687";"5804842";"10239473";"71381519";"201078";"9996344";"11372539";"75733545";"201561";"8998655";"11476946";"75315239";"184776";"11979032";"11080442";"75873273";"182132";"11838775";"12849800";"72012198";"180820";"10750433";"13659826";"73525072";"183839";"10709893";"15216144";"81599588";"199465";"14460846";"17405060";"80995596";"189191";"13026753";"16973882"
"Distrito Federal";"69475";"11567";"246219";"177065";"65342";"10080";"263888";"184047";"57360";"15055";"403111";"176160";"40368";"20189";"420636";"152250";"41037";"16880";"666390";"216000";"39672";"14096";"528188";"180832";"20720";"18040";"292474";"233888";"31125";"17400";"460740";"241500";"17425";"20550";"392580";"253110";"17425";"20550";"499800";"261000";"17425";"20550";"486138";"290550";"17425";"20550";"324000";"312000";"27092";"20550";"327000";"303120";"17425";"20550";"313200";"306000";"17425";"19154";"328200";"290700"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Rendimento médio da produção (Quilogramas por Hectare)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"61068";"17299";"2319";"3150";"58130";"16997";"2201";"3171";"58402";"17185";"3336";"3219";"62625";"15792";"3044";"3196";"68912";"21448";"3518";"3202";"68054";"22055";"4479";"3204";"69737";"22854";"3824";"3087";"63862";"22572";"4333";"3261";"38318";"23513";"3971";"3325";"44234";"23389";"4459";"3454";"40641";"22468";"4205";"3435";"34162";"22392";"4175";"3376";"35472";"21349";"4610";"3575";"34261";"20949";"4785";"3617";"33094";"20516";"4932";"3504"
"Acre";"53652";"20877";"2063";"3300";"67462";"19445";"2230";"3318";"67309";"19982";"2370";"-";"56154";"21411";"2738";"2702";"54696";"28902";"2489";"2738";"55318";"29315";"2461";"-";"38079";"28405";"2263";"1500";"28292";"25363";"2561";"2055";"26349";"23560";"2675";"2938";"26346";"23581";"2615";"3177";"26388";"23265";"2806";"3165";"26410";"23133";"3105";"3368";"26554";"23013";"3350";"3450";"26278";"23033";"3406";"3808";"25431";"22682";"3165";"3450"
"Amazonas";"64888";"11382";"2500";"3000";"59602";"11802";"2488";"3000";"68762";"11778";"2567";"3000";"69952";"11632";"2506";"3000";"65255";"11321";"2944";"-";"61544";"11444";"3135";"-";"62341";"11822";"2559";"-";"62341";"11439";"2516";"-";"63935";"11513";"2295";"-";"71963";"11398";"2340";"3000";"71497";"11594";"2255";"2963";"49351";"11525";"2261";"3333";"75581";"11174";"2232";"2329";"75546";"10317";"2514";"2848";"44901";"10764";"2893";"2863"
"Roraima";"3464";"13303";"2000";"2800";"3150";"13309";"2000";"2800";"3073";"13309";"2000";"2800";"9612";"17473";"2547";"2698";"7630";"15152";"2483";"2122";"13947";"22514";"2974";"2342";"12481";"21533";"3342";"2802";"12500";"22092";"6254";"2407";"12694";"12762";"4877";"2808";"9952";"13055";"5238";"2757";"11450";"12967";"5693";"2802";"15768";"10498";"5341";"3167";"16500";"11737";"6226";"3373";"16405";"12090";"5792";"3472";"15296";"13472";"6118";"3555"
"Pará";"61402";"15489";"2573";"2850";"56794";"15805";"2570";"2995";"56145";"15322";"2801";"3120";"67750";"15288";"2777";"2669";"69041";"14274";"2876";"3033";"69040";"15198";"3319";"3034";"68760";"14612";"3260";"3007";"68250";"14388";"3266";"3262";"68685";"14681";"3489";"2939";"68971";"14164";"3194";"3084";"68043";"14109";"2784";"3095";"69019";"14206";"3101";"2962";"69208";"15003";"3059";"3067";"69194";"15050";"3584";"3133";"69271";"14878";"3684";"3147"
"Amapá";"31892";"12397";"915";"-";"26369";"12183";"864";"-";"28038";"11762";"836";"-";"29211";"11369";"894";"2850";"31071";"11010";"911";"2578";"33185";"12550";"943";"2640";"34545";"12576";"981";"2850";"36128";"12953";"983";"2878";"27981";"10713";"849";"3115";"26856";"10719";"912";"2534";"26749";"10718";"911";"2385";"25965";"10790";"905";"2680";"24989";"10470";"940";"2775";"23834";"10560";"966";"2658";"22746";"9740";"1013";"2707"
"Tocantins";"73140";"18107";"3393";"2809";"84817";"17927";"3615";"3013";"67838";"17038";"3825";"3074";"76241";"15564";"3669";"2904";"78036";"18281";"3699";"2915";"78693";"18791";"3947";"2914";"78522";"17332";"3592";"2321";"78757";"17298";"3716";"2862";"79084";"17070";"3731";"2900";"79288";"15704";"4190";"2890";"77270";"15820";"4515";"3122";"62718";"16249";"4311";"3125";"84722";"15777";"4592";"3245";"83875";"16074";"4551";"3260";"81663";"16557";"4598";"3053"
"Maranhão";"62930";"7334";"1427";"2675";"55044";"8577";"1695";"2962";"60801";"7782";"1757";"2949";"59196";"6987";"2614";"2808";"57653";"8610";"2754";"2769";"65516";"8527";"3060";"2758";"55234";"8257";"2052";"1586";"54577";"8451";"3515";"2851";"55634";"8358";"3196";"2969";"61327";"7644";"4235";"2915";"60078";"7699";"4779";"3181";"57905";"8002";"4693";"3166";"58968";"8079";"4428";"3216";"60791";"7981";"4646";"3211";"58793";"7921";"4806";"3126"
"Piauí";"60671";"9581";"1193";"2531";"64605";"10944";"1936";"2982";"51691";"5254";"2860";"2793";"51983";"4156";"1783";"1727";"61185";"6075";"2749";"2375";"57342";"6873";"2972";"2659";"47336";"5438";"1464";"1147";"54158";"7085";"3185";"2907";"57526";"9503";"3389";"3473";"62303";"9653";"4198";"3037";"62276";"10988";"4718";"3230";"62048";"9770";"4245";"3262";"59734";"10827";"4448";"3526";"65903";"10882";"4687";"3584";"66169";"10266";"3874";"3528"
"Ceará";"53598";"5688";"316";"3350";"53417";"9833";"1262";"-";"49612";"5260";"246";"3366";"51153";"4584";"317";"-";"46706";"7876";"737";"-";"47361";"6134";"264";"-";"44404";"6583";"242";"-";"45578";"8454";"663";"-";"51195";"9943";"825";"2375";"58908";"10590";"812";"-";"61140";"10941";"1178";"3000";"60958";"9805";"743";"3202";"61986";"11520";"924";"3486";"63767";"10844";"600";"3866";"62998";"10989";"697";"3334"
"Rio Grande do Norte";"60655";"11195";"399";"-";"60238";"11868";"661";"-";"59863";"8111";"402";"-";"57570";"10054";"622";"-";"59182";"10486";"562";"-";"62603";"10046";"375";"-";"59846";"9367";"382";"-";"59369";"10709";"302";"-";"60010";"10499";"613";"-";"59982";"10930";"556";"-";"59406";"10362";"560";"-";"61371";"10753";"487";"-";"48712";"10289";"538";"-";"58436";"11095";"547";"-";"59914";"11125";"485";"2400"
"Paraíba";"45647";"8854";"156";"-";"54340";"9473";"399";"-";"46556";"7695";"426";"-";"49927";"9128";"621";"-";"56404";"8793";"421";"2400";"56446";"8631";"239";"-";"56290";"9428";"185";"-";"53620";"9488";"355";"-";"53554";"9339";"600";"-";"55552";"9405";"501";"-";"56478";"9564";"794";"-";"55654";"9291";"655";"-";"56277";"9343";"751";"1514";"64692";"9633";"469";"-";"64723";"10233";"497";"-"
"Pernambuco";"54543";"11199";"394";"-";"56689";"11132";"478";"-";"47490";"7451";"410";"-";"49976";"8307";"575";"-";"50894";"8877";"325";"-";"51586";"8843";"334";"-";"51808";"5308";"145";"-";"48808";"8469";"408";"-";"51248";"8980";"423";"-";"52879";"9180";"385";"-";"57515";"9220";"643";"-";"55823";"9916";"633";"2000";"61026";"9719";"590";"-";"61740";"10964";"648";"4000";"59507";"11822";"807";"-"
"Alagoas";"56146";"15602";"539";"-";"67307";"16348";"820";"-";"63869";"15046";"379";"-";"63301";"12322";"615";"-";"63999";"12246";"502";"-";"67253";"12988";"822";"1978";"60982";"11557";"1508";"3041";"54343";"11284";"1211";"2787";"58677";"11441";"1924";"2322";"61410";"10646";"2487";"3299";"56532";"12664";"1914";"3791";"59970";"12635";"2509";"2835";"60960";"15103";"2333";"3291";"65458";"15431";"2611";"3155";"68139";"14032";"1964";"3493"
"Sergipe";"64176";"14878";"4123";"-";"65428";"14925";"3228";"-";"64878";"14659";"3557";"-";"62029";"15092";"4727";"-";"62244";"15429";"4691";"-";"59530";"15541";"3284";"-";"42930";"14454";"1591";"-";"48115";"13290";"4985";"-";"53011";"12725";"3189";"-";"53499";"12760";"4838";"-";"53620";"12374";"5947";"-";"55262";"12660";"4481";"-";"57554";"12671";"4511";"-";"57480";"13498";"4890";"-";"55419";"13953";"5123";"-"
"Bahia";"60662";"12255";"3070";"3060";"60191";"11735";"3281";"3361";"58471";"9925";"4662";"2888";"57455";"10352";"3698";"2283";"56515";"11001";"4448";"2512";"59477";"11057";"3815";"3134";"59225";"11235";"3451";"2120";"61992";"6871";"3836";"3248";"66069";"6711";"4381";"3936";"67968";"6988";"3447";"3361";"72764";"7475";"4584";"3746";"75110";"7905";"4208";"4023";"69025";"8133";"4256";"3921";"73139";"7852";"4755";"4043";"74768";"7913";"4435";"3894"
"Minas Gerais";"81180";"14326";"5207";"2843";"81475";"14266";"5553";"2899";"80914";"13802";"6197";"2989";"80020";"13889";"6132";"2933";"76206";"14278";"5476";"2705";"75767";"14338";"5609";"2654";"76932";"14525";"5302";"3254";"76871";"14043";"6405";"3468";"77149";"13482";"6475";"3603";"77354";"14047";"6890";"3202";"77985";"14270";"6869";"3667";"71520";"14100";"5875";"3609";"74990";"14483";"6012";"3777";"78004";"14482";"6755";"3820";"74869";"14003";"6038";"3405"
"Espírito Santo";"65296";"17299";"2330";"-";"61216";"16774";"2380";"-";"63311";"17665";"2437";"-";"52345";"17073";"2545";"-";"53428";"16775";"2709";"-";"43306";"16220";"2292";"-";"39851";"14900";"2879";"-";"49979";"15526";"2836";"-";"62753";"16177";"3019";"-";"56425";"16296";"2874";"-";"59674";"17171";"3033";"-";"54787";"16983";"3022";"-";"58988";"16747";"3363";"2500";"58244";"16970";"3686";"3780";"62652";"16973";"3529";"2994"
"Rio de Janeiro";"47975";"14994";"2506";"-";"48888";"15473";"2486";"-";"48289";"16501";"2435";"-";"45825";"15077";"2362";"-";"51771";"14176";"2407";"-";"49372";"13838";"2630";"-";"44291";"14146";"2690";"-";"43922";"12121";"2990";"-";"41612";"11943";"2891";"-";"45918";"15142";"4478";"-";"48323";"14908";"4753";"-";"41597";"13416";"4238";"4208";"45350";"14448";"4522";"3938";"45246";"13479";"5328";"3409";"45565";"13584";"4156";"3060"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"85543";"22372";"5237";"2853";"82093";"23496";"4208";"2756";"78829";"23416";"5346";"2785";"80397";"24531";"5381";"3022";"72103";"24074";"5126";"2468";"76602";"23431";"5803";"3039";"79141";"23587";"5310";"3290";"79217";"23199";"5871";"3478";"78033";"23738";"5218";"3505";"77174";"22984";"5685";"3199";"78288";"23039";"5558";"3431";"74142";"22184";"5455";"3489";"76620";"23352";"5766";"3577";"80066";"23243";"5869";"3648";"77532";"21745";"5058";"2675"
"Paraná";"77268";"23302";"6011";"3145";"69976";"22680";"5178";"3393";"73136";"24316";"5524";"2454";"75171";"24126";"5802";"3347";"70545";"25185";"6185";"2976";"75644";"27056";"6472";"3288";"72985";"26364";"5406";"3141";"66279";"23681";"6185";"3663";"65525";"22457";"5327";"3540";"69755";"22921";"6283";"3024";"70460";"23642";"5865";"3772";"66083";"23980";"3827";"3480";"66126";"23648";"5116";"2380";"74217";"25403";"6380";"3741";"68803";"26822";"5492";"3240"
"Santa Catarina";"44371";"18063";"6275";"3130";"47862";"18425";"6735";"3259";"46017";"18229";"5541";"2392";"47116";"19302";"6868";"3043";"49240";"18954";"7217";"2978";"47899";"19217";"7606";"3287";"49010";"18630";"7022";"3238";"48385";"19203";"8285";"3698";"45087";"19462";"7732";"3470";"48221";"20583";"8041";"3414";"48804";"20051";"7904";"3375";"50139";"20341";"5983";"3373";"48474";"20381";"6364";"2868";"51884";"20755";"7852";"3805";"51275";"19807";"6190";"3370"
"Rio Grande do Sul";"41873";"15632";"4904";"2611";"42363";"16217";"5250";"2876";"32140";"15097";"3133";"1430";"40737";"16381";"5398";"2698";"42441";"17203";"5831";"2615";"42793";"17611";"6509";"2983";"42711";"17450";"6406";"2982";"43632";"17780";"7298";"3385";"43399";"17375";"6539";"3104";"42515";"17932";"7519";"3179";"37046";"16483";"5676";"1886";"41489";"17728";"5656";"3343";"31438";"14393";"3877";"1508";"35435";"16181";"4855";"1912";"41123";"15700";"5641";"2806"
"Mato Grosso do Sul";"87118";"20356";"4329";"3082";"70341";"20775";"3760";"2923";"67592";"20534";"5204";"2534";"65973";"21836";"4925";"2909";"68822";"21975";"5172";"2938";"80498";"22699";"5785";"3108";"78883";"21641";"3593";"3062";"70902";"21718";"5361";"3473";"73162";"21813";"3912";"3638";"71790";"21613";"5024";"3018";"71869";"22712";"5422";"3504";"70223";"22799";"2768";"3622";"64540";"22207";"5410";"2337";"78384";"22221";"5611";"3654";"78063";"22820";"3590";"2799"
"Mato Grosso";"68540";"14002";"4058";"3017";"61901";"14198";"4041";"3223";"69463";"14646";"5709";"3129";"69610";"14449";"5908";"2959";"68951";"14954";"5426";"3076";"69450";"14935";"5980";"3106";"69524";"14686";"4106";"2887";"70371";"14508";"6258";"3290";"72006";"14233";"5925";"3349";"78751";"14443";"6268";"3316";"78497";"15176";"6327";"3511";"77503";"14606";"5518";"3381";"76116";"14784";"5975";"3481";"80066";"14834";"6762";"3708";"81479";"14497";"6698";"3109"
"Goiás";"82949";"16025";"5448";"2965";"78709";"15975";"5978";"3009";"79617";"16467";"6740";"3146";"80625";"16671";"6250";"3024";"78396";"16563";"6469";"2814";"77487";"16331";"6786";"2640";"76301";"16263";"4339";"3093";"77360";"15151";"6120";"3414";"79939";"15883";"5999";"3462";"79533";"15342";"7183";"3258";"81757";"15611";"6837";"3592";"77716";"15829";"5779";"3542";"78967";"15815";"5615";"3691";"83407";"16023";"6628";"3816";"79735";"16400";"6034";"3436"
