codigo_estacao,nome_estacao,estado_uf,latitude,longitude,altitude,data_inicio_operacao,situacao_status,tipo_estacao,entidade_responsavel,eh_capital,codigo_distrito,codigo_oscar,codigo_wsi
A894,SERAFINA CORREA,RS,-28.70472222,-51.87083332,485.29,2016-03-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-84801,0-76-0-4320404000000509
A601,SEROPEDICA-ECOLOGIA AGRICOLA,RJ,-22.75777777,-43.68472221,35,2000-05-23T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86878,0-76-0-3305554000000002
A522,SERRA DOS AIMORES,MG,-17.79888888,-40.25,211.97,2006-08-20T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86763,0-76-0-3166709000000096
A230,SERRA DOS CARAJAS,PA,-6.07749999,-50.14222221,707,2008-09-02T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81860,0-76-0-1505536000000418
A943,SERRA NOVA DOURADA,MT,-11.98777777,-51.4261111,441,2019-03-28T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-86641,0-76-0-5100359000000590
A350,SERRA TALHADA,PE,-7.95416666,-38.29499999,499.02,2008-07-08T21:00:00.000-03:00,Pane,Automatica,INMET,,03,0-2000-0-81912,0-76-0-2613909000000395
A441,SERRINHA,BA,-11.66472222,-39.02305554,337.79,2008-05-08T21:00:00.000-03:00,Pane,Automatica,INMET,,04,0-2000-0-86637,0-76-0-2930501000000361
B811,SERTAO SANTANA,RS,-30.49416666,-51.66333333,116,2025-08-13T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4320552000000612
A569,SETE LAGOAS,MG,-19.45527777,-44.17333332,719,2016-06-09T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86790,0-76-0-3167202000000520
A751,SETE QUEDAS,MS,-23.96694443,-55.02416666,398.4,2008-06-02T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86895,0-76-0-5007703000000376
A754,SIDROLANDIA,MS,-20.98166666,-54.97194443,471.43,2008-09-28T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86809,0-76-0-5007901000000434
A659,SILVA JARDIM,RJ,-22.64583333,-42.41555555,19,2015-08-27T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86893,0-76-0-3305604000000505
A037,SILVANIA,GO,-16.67972221,-48.61805554,952,2010-10-07T21:00:00.000-03:00,Pane,Automatica,INMET,,10,0-2000-0-86735,0-76-0-5220603000000469
A917,SINOP,MT,-11.98222221,-55.56611111,366.57,2006-10-28T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-86626,0-76-0-5107909000000129
B840,SOBRADINHO,RS,-29.39833333,-53.01361111,379,2025-10-30T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4320701000000638
A306,SOBRAL,CE,-3.74805555,-40.34583333,92.07,2003-02-11T22:00:00.000-02:00,Pane,Automatica,INMET,N,03,0-2000-0-81754,0-76-0-2312908000000054
A837,SOLEDADE,RS,-28.85916666,-52.54249999,660.44,2008-02-29T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86964,0-76-0-4320800000000301
A761,SONORA,MS,-17.63527777,-54.76055555,495.25,2012-11-29T21:00:00.000-03:00,Operante,Automatica,INMET,,07,0-2000-0-86769,0-76-0-5007935000000489
A904,SORRISO,MT,-12.555,-55.72277777,379.31,2002-12-15T22:00:00.000-02:00,Operante,Automatica,INMET,N,09,0-2000-0-86645,0-76-0-5107925000000035
A227,SOURE,PA,-0.72777777,-48.51583333,12.54,2008-04-26T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81658,0-76-0-1507904000000352
A328,SURUBIM,PE,-7.84249999,-35.79027777,421.44,2008-03-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81917,0-76-0-2614501000000310
A952,TABAPORA,MT,-11.05055555,-56.83583333,337,2025-12-03T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,,0-76-0-5107941000000648
A902,TANGARA DA SERRA,MT,-14.65,-57.43166666,440.01,2002-12-10T22:00:00.000-02:00,Operante,Automatica,INMET,N,09,0-2000-0-86682,0-76-0-5107958000000030
B815,TAQUARI,RS,-29.79166666,-51.82749999,53,2025-08-13T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4321303000000613
A324,TAUA,CE,-6.01749999,-40.28138888,410.87,2007-07-11T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81872,0-76-0-2313302000000228
A728,TAUBATE,SP,-23.04166666,-45.52083332,582.26,2006-12-19T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86911,0-76-0-3554102000000162
A878,TAVARES - FAROL DE MOSTARDAS,RS,-31.24833333,-50.90638888,3.82,2008-03-10T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86994,0-76-0-4312500000000315
A527,TEOFILO OTONI,MG,-17.89277777,-41.51555555,467.17,2006-08-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86762,0-76-0-3168606000000099
A312,TERESINA,PI,-5.03472221,-42.80138888,75.23,2004-11-23T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81827,0-76-0-2211001000000069
A618,TERESOPOLIS-PARQUE NACIONAL,RJ,-22.4486111,-42.98694444,981,2006-10-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86888,0-76-0-3305802000000131
A882,TEUTONIA,RS,-29.44916666,-51.82333332,81,2012-10-03T21:00:00.000-03:00,Operante,Automatica,INMET,,08,0-2000-0-86987,0-76-0-4321451000000484
A368,TIANGUA,CE,-3.73222221,-41.01194444,756,2018-03-14T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81753,0-76-0-2313401000000574
A511,TIMOTEO,MG,-19.57388888,-42.62249999,493.42,2006-02-21T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86801,0-76-0-3168705000000075
A213,TOME ACU,PA,-2.59249999,-48.36055555,42.95,2007-10-13T21:00:00.000-03:00,Operante,Automatica,INMET,N,02,0-2000-0-81711,0-76-0-1508001000000256
B841,TORRES-AEROPORTO,RS,-29.41361111,-49.80361111,0,2025-10-12T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4321501000000637
A834,TRAMANDAI,RS,-30.01027777,-50.13583333,4.56,2008-03-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86990,0-76-0-4321600000000311
A704,TRES LAGOAS,MS,-20.79499999,-51.71333333,328.94,2001-09-02T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86813,0-76-0-5008305000000011
A528,TRES MARIAS,MG,-18.20083333,-45.45972222,931.01,2006-08-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86779,0-76-0-3169356000000100
A625,TRES RIOS,RJ,-22.09833333,-43.20833333,295,2016-06-07T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-84804,0-76-0-3306008000000519
A234,TUCUMA,PA,-6.74333333,-51.14194444,320.93,2008-07-17T21:00:00.000-03:00,Operante,Automatica,INMET,,02,0-2000-0-81859,0-76-0-1508084000000404
A229,TUCURUI,PA,-3.82277777,-49.67499999,137.94,2008-02-29T21:00:00.000-03:00,Operante,Automatica,INMET,N,02,0-2000-0-81743,0-76-0-1508100000000300
A768,TUPA,SP,-21.92722221,-50.49027777,498,2017-05-11T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-84812,0-76-0-3555000000000546
A886,TUPANCIRETA,RS,-29.08944444,-53.82666666,462,2016-08-10T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-84805,0-76-0-4322202000000526
A219,TURIACU,MA,-1.66111111,-45.37249999,35.86,2008-06-09T21:00:00.000-03:00,Operante,Automatica,INMET,N,02,0-2000-0-81687,0-76-0-2112407000000380
A568,UBERABA,MG,-19.71,-47.96194444,778,2017-05-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-84814,0-76-0-3170107000000549
